"metabolite","lambda"
"Metabolite1",1.25400177323017
"Metabolite2",1.00984164540988
"Metabolite3",1.00362239473409
"Metabolite4",1.00841243257346
"Metabolite5",1.11550605342819
"Metabolite6",0.988933093900682
"Metabolite7",1.01464699295719
"Metabolite8",1.00671197393974
"Metabolite9",1.01109799242425
"Metabolite10",1.04384506030835
"Metabolite11",1.04908038564622
"Metabolite12",1.14681760033664
"Metabolite13",1.05367355565601
"Metabolite14",1.01557994859775
"Metabolite15",0.97057304088932
"Metabolite16",1.0112438227014
"Metabolite17",0.986413535922351
"Metabolite18",1.02124225090718
"Metabolite19",1.02038398558463
"Metabolite20",0.986251826679338
"Average",1.03589396829134
